"cost_scheme","replicate","pvalue","time_inconsistency","signif","ratio","event","number_events"
"d1_t8_l1",22,0.074925,21,FALSE,0.125,"duplication",11
"d1_t8_l1",22,0.074925,21,FALSE,0.125,"loss",48
"d1_t8_l1",23,0.072927,38,FALSE,0.125,"cospeciation",8
"d1_t8_l1",23,0.072927,38,FALSE,0.125,"transfer",1
"d1_t8_l1",23,0.072927,38,FALSE,0.125,"duplication",11
"d1_t8_l1",23,0.072927,38,FALSE,0.125,"loss",47
"d1_t8_l1",24,0.005994,10,TRUE,0.111111111111111,"cospeciation",9
"d1_t8_l1",24,0.005994,10,TRUE,0.111111111111111,"transfer",1
"d1_t8_l1",24,0.005994,10,TRUE,0.111111111111111,"duplication",10
"d1_t8_l1",24,0.005994,10,TRUE,0.111111111111111,"loss",39
"d1_t8_l1",25,0.05994,34,FALSE,0.125,"cospeciation",8
"d1_t8_l1",25,0.05994,34,FALSE,0.125,"transfer",1
"d1_t8_l1",25,0.05994,34,FALSE,0.125,"duplication",11
"d1_t8_l1",25,0.05994,34,FALSE,0.125,"loss",47
"d1_t8_l1",26,0.000999,19,TRUE,0,"cospeciation",9
"d1_t8_l1",26,0.000999,19,TRUE,0,"transfer",0
"d1_t8_l1",26,0.000999,19,TRUE,0,"duplication",11
"d1_t8_l1",26,0.000999,19,TRUE,0,"loss",45
"d1_t8_l1",27,0.128871,19,FALSE,0.222222222222222,"cospeciation",9
"d1_t8_l1",27,0.128871,19,FALSE,0.222222222222222,"transfer",2
"d1_t8_l1",27,0.128871,19,FALSE,0.222222222222222,"duplication",9
"d1_t8_l1",27,0.128871,19,FALSE,0.222222222222222,"loss",46
"d1_t8_l1",28,0.116883,28,FALSE,0.25,"cospeciation",8
"d1_t8_l1",28,0.116883,28,FALSE,0.25,"transfer",2
"d1_t8_l1",28,0.116883,28,FALSE,0.25,"duplication",10
"d1_t8_l1",28,0.116883,28,FALSE,0.25,"loss",45
"d1_t8_l1",29,0.014985,22,TRUE,0.125,"cospeciation",8
"d1_t8_l1",29,0.014985,22,TRUE,0.125,"transfer",1
"d1_t8_l1",29,0.014985,22,TRUE,0.125,"duplication",11
"d1_t8_l1",29,0.014985,22,TRUE,0.125,"loss",41
"d1_t8_l1",30,0.026973,16,TRUE,0.222222222222222,"cospeciation",9
"d1_t8_l1",30,0.026973,16,TRUE,0.222222222222222,"transfer",2
"d1_t8_l1",30,0.026973,16,TRUE,0.222222222222222,"duplication",9
"d1_t8_l1",30,0.026973,16,TRUE,0.222222222222222,"loss",39
"d1_t8_l1",31,0.005994,37,TRUE,0,"cospeciation",8
"d1_t8_l1",31,0.005994,37,TRUE,0,"transfer",0
"d1_t8_l1",31,0.005994,37,TRUE,0,"duplication",12
"d1_t8_l1",31,0.005994,37,TRUE,0,"loss",48
"d1_t8_l1",32,0.020979,22,TRUE,0,"cospeciation",8
"d1_t8_l1",32,0.020979,22,TRUE,0,"transfer",0
"d1_t8_l1",32,0.020979,22,TRUE,0,"duplication",12
"d1_t8_l1",32,0.020979,22,TRUE,0,"loss",49
