"cost_scheme","replicate","pvalue","cospeciation","transfer","duplication","loss","time_inconsistency","signif","ratio"
"d4_t1_l1",13,0.090909,4,16,0,0,7,FALSE,4
"d4_t1_l1",14,0.648352,4,15,1,1,13,FALSE,3.75
"d4_t1_l1",15,0.57043,5,14,1,0,10,FALSE,2.8
"d4_t1_l1",16,0.628372,3,16,1,0,13,FALSE,5.33333333333333
"d4_t1_l1",17,0.050949,3,17,0,0,14,FALSE,5.66666666666667
"d4_t1_l1",18,0.030969,4,16,0,0,11,TRUE,4
"d4_t1_l1",19,0.066933,4,16,0,1,13,FALSE,4
"d4_t1_l1",20,0.89011,3,15,2,0,13,FALSE,5
"d4_t1_l1",21,0.672328,2,17,1,0,16,FALSE,8.5
"d4_t1_l1",22,0.018981,5,15,0,1,11,TRUE,3
"d4_t1_l1",23,0.017982,5,15,0,0,7,TRUE,3
"d4_t1_l1",24,0.021978,4,16,0,0,11,TRUE,4
"d4_t1_l1",25,0.609391,3,16,1,0,13,FALSE,5.33333333333333
"d4_t1_l1",26,0.578422,3,16,1,0,12,FALSE,5.33333333333333
"d4_t1_l1",27,0.046953,3,17,0,0,13,TRUE,5.66666666666667
"d4_t1_l1",28,0.687313,2,17,1,0,16,FALSE,8.5
"d4_t1_l1",29,0.633367,4,15,1,0,7,FALSE,3.75
"d4_t1_l1",30,0.612388,3,16,1,0,12,FALSE,5.33333333333333
"d4_t1_l1",31,0.627373,4,15,1,1,12,FALSE,3.75
"d4_t1_l1",32,0.605395,3,16,1,0,13,FALSE,5.33333333333333
"d4_t1_l1",33,0.657343,4,15,1,1,13,FALSE,3.75
"d4_t1_l1",34,0.603397,3,16,1,0,12,FALSE,5.33333333333333
"d4_t1_l1",35,0.581419,5,14,1,1,12,FALSE,2.8
"d4_t1_l1",36,0.073926,4,16,0,1,12,FALSE,4
"d4_t1_l1",37,0.891109,3,15,2,0,13,FALSE,5
"d4_t1_l1",38,0.486513,5,14,1,1,11,FALSE,2.8
